ID,Category,FaceID,MotionID,VoiceID,TextID
0,1,{AUTO},{AUTO},{LEADER}_000_007,{AUTO}
1,2,{AUTO},{AUTO},{LEADER}_000_005,{AUTO}
2,3,{AUTO},{AUTO},{LEADER}_000_006,{AUTO}
3,11,{AUTO},{AUTO},{LEADER}_000_005,{AUTO}
4,12,{AUTO},{AUTO},{LEADER}_000_007,{AUTO}
5,14,{AUTO},{AUTO},{LEADER}_000_007,{AUTO}
6,15,{AUTO},{AUTO},{LEADER}_000_005,{AUTO}
7,21,{AUTO},{AUTO},{LEADER}_000_003,{AUTO}
8,22,{AUTO},{AUTO},{LEADER}_000_007,{AUTO}
9,31,{AUTO},{AUTO},{LEADER}_000_002,{AUTO}
10,32,{AUTO},{AUTO},{LEADER}_000_002,{AUTO}
11,33,{AUTO},{AUTO},{LEADER}_000_005,{AUTO}
12,34,{AUTO},{AUTO},{LEADER}_000_005,{AUTO}
13,35,{AUTO},{AUTO},{LEADER}_000_005,{AUTO}
14,36,{AUTO},{AUTO},{LEADER}_000_006,{AUTO}
15,37,{AUTO},{AUTO},{LEADER}_000_005,{AUTO}
16,101,{AUTO},{AUTO},{LEADER}_000_004,{AUTO}
17,102,{AUTO},{AUTO},{LEADER}_000_007,{AUTO}
18,401,{AUTO},{AUTO},{LEADER}_000_007,{AUTO}
19,501,{AUTO},{AUTO},{LEADER}_000_007,{AUTO}
